name,price,status,shipping,free_returns,items_sold
"Dell Latitude 7300 13.3"" Business Laptop Core i5 8GB RAM 256GB SSD Windows 11",19596,Good - Refurbished · Dell,0,True,64
Dell Latitude 7390 Business Laptop 13” FHD Core i7 16GB RAM 512GB SSD Win 11 Pro,31270,Very Good - Refurbished · Dell,0,True,163
Dell Latitude 5420 Laptop 14” FHD Core i7 4.7GHz 16GB RAM 512GB SSD Win 11 Pro,34284,Good - Refurbished · Dell,0,True,141
"HP ZBook Studio G7 15""- i7 2.7GHz - 32GB RAM - 1TB SSD - Grade D",24999,Pre-Owned · HP,0,True,124
Microsoft Surface Laptop 3 1868 Intel Core i5-1035G7 CPU 1.2GHz 256GB 8GB *,14994,Pre-Owned · Microsoft,0,True,
"Lenovo IdeaPad Slim 3x 15.3"" Laptop -  Snapdragon X - 16GB - 1TB SSD - Open Box",37195,Open Box · Lenovo,0,True,
"HP EliteBook 845 G10 14"" Laptop, Ryzen 5 Pro 7, 16GB, 512GB SSD, Win11 Pro",39999,Excellent - Refurbished · HP · 512 GB,0,True,
"Acer Nitro V 15.6"" Laptop FHD i5-13420H 16GB DDR4 1TB SSD RTX 5050 Refurbished",66999,Certified - Refurbished · Acer,0,True,
"Lenovo ThinkPad T14 Gen 1 i7-10610U vPro 32GB RAM 512GB SSD 14"" FHD Win11 Pro",25999,Pre-Owned · Lenovo · 512 GB,0,,
Dell Latitude 3490 14” HD Laptop Intel i3 16GB RAM 256GB SSD Windows 11 Pro WiFi,21296,Good - Refurbished · Dell,0,True,99
"FRAMEWORK 13 - Modular Laptop i7-1185G7, 1TB HDD, 64GB Mem (No Battery) *Tested*",112000,Pre-Owned,3116,True,
"Lenovo IdeaPad Touchscreen Laptop Computer, 15.6"" FHD, Intel 10-Core i5-1334U, 2",30999,Brand New · Lenovo · 1 TB,0,,
"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",7598,💸 Tax Refund Upgrade Sale 💻 1-Year Warranty ✅,0,True,254
Dell Latitude 3120 2-in-1 Touch Laptop Intel Pentium 4GB RAM 128GB SSD Win 11,12830,Good - Refurbished · Dell,0,True,1191
ASUS VivoBook F510QA 15.6in. 2.7 GHz AMD Quad Core A12 4GB 128GB SSD,11999,Brand New · ASUS · 128 GB,0,,
ASUS ROG Strix G16 16in 165Hz/3ms AMD Ryzen 9 9955HX RTX 5070 16GB DDR5 1TB,35000,Brand New · ASUS · 1 TB,0,,
"Dell Latitude 5430 i5-1245U 2.5GHz 16.0GB RAM 512GB SSD WIN 11 PRO 14"" Laptop",19999,Pre-Owned · Dell,0,,
"15.6"" FHD Laptop 16GB RAM 512GB SSD Intel Celeron N5095 Win 11 Pro Backlit KB",15769,Pre-Owned · Unbranded · 512 GB,0,True,
"HP 15-fd0088WM 15.6"" FHD N200 1GHz Intel UHD Graphics 4GB RAM 128GB SSD Win 11",15800,Home Glimmer Garnet,0,True,
"LENOVO THINKPAD X13 GEN 2 13"" i7-1185G7 3.0GHz 16GB 256GB--GRADE D",17499,Pre-Owned · Lenovo,0,True,269
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB",30999,Brand New · Lenovo · 40 GB,0,,
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB",30999,Brand New · Lenovo · 40 GB,0,,
"Dell Latitude 5411 14"" Laptop, Intel Core i7, 16GB RAM, 256GB SSD, Win11 Pro. (R",26600,Pre-Owned · Dell,0,True,
"Acer Aspire 16 AI 16"" Laptop WUXGA Snapdragon X X1-26-100 16GB RAM 1TB Refurb",41599,Very Good - Refurbished · Acer,0,True,
"HP EliteBook 840 G8 14"" 8GB 256GB SSD Intel Core i5-1145G7 Windows 11 Pro Silver",24999,Open Box · HP · 256 GB,0,,
Dell Inspiron 15 3520 Laptop Intel i5-1135G7 16GB RAM 512GB SSD Win11 Black,23000,Pre-Owned · Dell · 512 GB,1218,,
"Dell Latitude 5330 13"" 2 IN 1 INTEL CORE i7-1265U 512GB SSD 32GB RAM WINDOWS 11",39999,Excellent - Refurbished · Dell · 512 GB,0,True,52
Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 500GB SSD WWAN  BLACK,37777,BLACK LID,1898,,
"Lenovo ThinkPad T14s 14"" Intel i7 4.8GHz 32GB 512GB SSD Win11",36999,Good - Refurbished · Lenovo,0,True,71
"2026 HP Laptop Computer 17.3"" 10-Core Intel i7 Upto 64GB RAM 2TB SSD Office 2024",59900,✅Lifetime Office 2024 ✅16GB|32GB|64GB RAM✅512GB|2TB SSD,0,True,
Dell Latitude 5440 Laptop 14” 10-Core i5 4.7GHz 16GB RAM 256GB SSD Windows 11,37431,Excellent - Refurbished · Dell,0,True,67
Dell Latitude 5440 Laptop 14” 10-Core i5 4.7GHz 16GB RAM 256GB SSD Windows 11,37431,Excellent - Refurbished · Dell,0,True,67
Dell Latitude 7390 13 Core i5 16GB 256GB Black 2018 - Good,14499,Good - Refurbished · Dell · 256 GB,0,True,
"2026 Newest HP Laptop 14"" Quad-Core Intel Processor Up to 16GB RAM 628GB Storage",29900,✅NEW RELEASE ✅Free MS Office 365 ✅Portable Thin & Light,0,True,
"Dell Latitude 5320 2-in-1 13.3"" FHD Touch i7-1185G7 16GB 512GB SSD Win11 Pro",34999,Excellent - Refurbished · Dell · 512 GB,0,True,
Hp Elitebook 840 G3 Laptop Intel Core i5-6300U 8GB Ram 256GB SSD W11P,13999,Good - Refurbished · HP,0,True,
Dell Latitude 5420 i5-1145G7 2.60GHz 16GB Ram 256GB SSD Win 11 Pro,16000,Pre-Owned · Dell · 256 GB,0,True,
"18.5"" Laptop 24GB RAM 1TB SSD,Windows 11 Pro Notebook Computer,MS Office 365,Int",29900,Brand New,0,,
"HP 17.3 Touchscreen Laptop, Intel Core i3, 16GB RAM, 128GB eMMC + 1TB SSD, Windo",18863,Brand New · HP · 128 GB,2169,,
"18.5"" Laptop 24GB RAM 1TB SSD,Windows 11 Pro Notebook Computer,MS Office 365,Int",29900,Brand New · 24 GB,0,,
"18.5"" Laptop 24GB RAM 1TB SSD,Windows 11 Pro Notebook Computer,MS Office 365,Int",29900,Brand New,0,,
"Acer Aspire 3 15.6"" Laptop AMD Ryzen3 7320U 2.4GHz 8GB RAM 128GB SSD Refurbished",19999,Official Acer Recertified Store (Certified Refurbished),0,True,3162
HP Elitebook 840 G5 Core i5-7300U 2.6GHZ 16GB 256GB SSD WCam WiFi W11 & Cord,13000,Pre-Owned · HP · 256 GB,1599,,
"HP 15-fd0082wm 15.6"" HD N200 1GHz Integrated Intel Graphics 4GB RAM 128GB SSD",15800,Win 11 Home Blue,0,True,91
2026 Lenovo IdeaPad Laptop Intel Processor 15.6 Upto 20GB RAM 1TB SSD Office 365,24900,✅Free Office 365 ✅4GB|12GB|20GB RAM✅512GB|1TB SSD,0,True,
"2026 HP Laptop Computer 17.3"" 10-Core Intel i5 Up to 64GB RAM 2TB SSD Pro Office",52900,✅Lifetime Office 2024 ✅12GB|32GB|64GB RAM✅512GB|2TB SSD,0,True,
2026 HP Laptop 15 AMD Ryzen 7 Upto 4.5 GHz 64GB RAM & 2TB SSD Office Touchscreen,47900,✅Lifetime Office 2024+Win 11 Pro✅Fast Shipping ✅On Sale,0,True,
"Dell Latitude 5330 13"" 2 IN 1 INTEL CORE i7-1265U 512GB SSD 32GB RAM WINDOWS 11",39999,Excellent - Refurbished · Dell · 512 GB,0,True,52
"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 32GB RAM 2TB SSD Windows 11 Pro",24899,📦 Fast Shipping ✨ Customize RAM+SSD ⚡️ Plug and Play,0,True,
"Dell Inspiron 15 15.6"" Touchscreen Laptop AMD Ryzen 7 7730U 16GB RAM 512GB SSD",40999,Open Box · Dell · 512 GB,0,,
"Dell Latitude 7410 14"" i5-10th Gen, 16GB, 256GB NVME SSD, Webcam Windows 11 Pro",20900,Very Good - Refurbished · Dell · 256 GB,0,True,75
"HP EliteBook 845 G10 14"" Laptop, Ryzen 5 Pro 7, 16GB, 512GB SSD, Win11 Pro",39999,Excellent - Refurbished · HP · 512 GB,0,True,
"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",19995,Pre-Owned · Dell · 256 GB,0,,703
"HP 15-fd0230wm LAPTOP 15.6"" FHD Touchscreen i3-N305 1.8GHz Intel UHD Graphics",25600,8GB RAM 256GB SSD Win 11 Home Cozy Cashmere,0,True,50
Acer Predator Helios Neo AI 16S Gaming Laptop RTX 5070 Ti Certified Refurbished,137199,Certified - Refurbished · Acer,0,True,1985
"Gateway 14"" Chromebook 314 4GB RAM 128GB SSD Intel Celeron N4500 UHD Refurbished",8999,Certified - Refurbished · Acer · 128 GB,0,True,204
"Acer Swift 14 AI Laptop 14.5"" Snapdragon X Elite 16GB RAM 1TB SSD Refurbished",51199,Official Acer Recertified Store (Certified Refurbished),0,True,
"Dell Latitude 5520 Laptop i5-1145G7 up to 64GB RAM & 2TB SSD 15.6"" Touchscreen",26800,Refurbished!! FHD Touchscreen! Customizable RAM and HD!,0,True,17
"Acer Aspire 16 AI 16"" Laptop WUXGA Snapdragon X X1-26-100 16GB RAM 1TB Refurb",41599,Very Good - Refurbished · Acer,0,True,
"Dell Latitude 14"" FHD Laptop Quad-Core i7 4.2GHz 16GB RAM 256GB SSD Windows 11",25562,Very Good - Refurbished · Dell,0,True,199
"2026 Lenovo IdeaPad Laptop Notebook 14"" Intel Processor Up to 20GB RAM & 1TB SSD",27900,✅Free Office 365 ✅8GB|12GB|20GB RAM✅512GB|1TB SSD,0,True,
"Dell Latitude 7420 14"" i7-1165G7 16GB RAM 512GB SSD FHD Win11 Pro Backlit",36999,Excellent - Refurbished · Dell · 512 GB,0,True,
"New Microsoft Surface Laptop 7 15"" Snapdragon X Elite - 16GB Ram 1TB SSD - Black",88349,Open Box · Microsoft · 1 TB,1499,,
ASUS ROG Strix G16 16in 165Hz/3ms AMD Ryzen 9 9955HX RTX 5070 16GB DDR5 1TB,35000,Brand New · ASUS · 1 TB,0,,
"HP X360 G2 EE 11"" Laptop Windows 11 Pro Touch Screen 2 in 1  Bundle Gift Set",8500,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,483
"Microsoft Surface Pro 5 i5-7300U 8GB RAM 256GB NVMe 12.3"" Touchscreen Pls Read",5949,Pre-Owned · Microsoft · 256 GB,1000,True,
HP 15.6 Touchscreen Laptop Computer • 2026 Edition • Intel 13th Gen i3-1315U CPU,20000,Brand New,1295,,
"Acer Chromebook 315 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB Refurbished",10999,Certified - Refurbished · Acer · 64 GB,0,True,120
"Lenovo IdeaPad Touchscreen Laptop Computer, 15.6"" FHD, Intel 10-Core i5-1334U, 2",30999,Brand New · Lenovo · 1 TB,0,,
"2026 Dell Inspiron 15 Laptop Touch Intel i5-1334U 12GB RAM 256GB SSD, Win 11 Pro",46900,✅ Fast Shipping ✅Lifetime MS Office ✅New Year Sale,0,True,
Dell Vostro 3500 15 Core i5 8GB 256GB Black 2021 - Good,16499,Good - Refurbished · Dell · 256 GB,0,True,
"Dell Latitude 5430 i5-1245U 2.5GHz 16.0GB RAM 512GB SSD WIN 11 PRO 14"" Laptop",19999,Pre-Owned · Dell,0,,
"Dell Latitude 5490 14"" i5-8250U@1.60GHz 16GB RAM 256GB NVMe Win 11 Pro WC854*!",9998,Pre-Owned · Dell,495,,
HP EliteBook 845 G7 Ryzen 5 PRO 4650U 16GB 256GB SSD Win11 Pro Renewed,28999,Certified - Refurbished · HP · 256 GB,0,True,9
HP Laptop Computer PC Workstation Gaming Core I7 32GB 1TB Windows 11 PRO OFFICE!,25999,Microsoft Office 2021 - One Year Warranty - HDMI - USBC,0,,
OVERSTOCK~ 11.6 HP Pro X360 Laptop PC: TouchScreen! Webcam! Windows 11 Pro!,12994,4GB RAM ~ 63GB SSD! 1 Year Warranty!,0,True,43
"ACEMAGIC 15.6"" Laptop Sliver Intel 12th Alder Lake N95 16GB RAM 512GB NOTEBOOK",18999,Certified - Refurbished · Acemagic,0,True,
"ASUS VivoBook Laptop Intel Core Ultra 7 256V 16GB 1 TB SSD 14"" Touch W11H",59199,"Shop With Confidence, Buy From Newegg",0,True,103
"Acer TravelMate B311-31 11.6"" N100 3.40GHz/8GB/128GB (Black) N23C1 - w/Warranty",10700,Very Good - Refurbished · Acer,0,True,141
Dell Latitude 5440 10-Core i7-1365U 5.20GHz 256GB SSD 16GB RAM Windows 11 Pro,34000,Pre-Owned · Dell,0,,80
Dell 3100 2-in-1 Touchscreen Laptop Windows 11 Installed Thanks Giving Gift Set,9000,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,121
HP ChromeBook 11 G5 Laptop TouchScreen With Windows 11 Pro Birthday Gift Set,9000,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,
"Dell Latitude 3190 2 in 1 11.6"" Intel N5030 @1.10GHz 4GB 128GB SSD",9112,Brand New · Dell,0,,
Cyber Special - Dell Latitude 5520 Laptop - 2.6 GHz i5-1145G7 16GB 512GB - Touch,24800,Pre-Owned · Dell,0,True,751
"HP Essential Laptop Computer 15.6"" HD Intel Core i5 8 GB memory;256 GB SSD",41999,Save $530 instantly,0,True,
"Windows 7 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HD DVD/CD",12999,Pre-Owned · 250 GB,0,True,704
"HP 11"" X360 G1 EE 2-in-1 Laptop Windows 11 Pro Touch Screen 2in1 Christmas",8500,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,85
HP EliteBook 845 G8 AMD Ryzen 5 PRO 5650U 16 GB RAM 512GB SSD  W11 Pro--2456,16999,Pre-Owned · HP · 512 GB,1299,,
"Lenovo TP X1 Carbon G9 14-Inch WUXGA Touch Intel i7-1185G7 16GB, 256GB SSD W11P",47999,🛡️1yr Allstate Warranty 📞Pro Support 🔁Free Returns,0,True,
RIPARAZIONE LAPTOP E TOWERS TECNICO ESPERTO ZONE LANCIANO CHIETI VASTO,5000,MAX SERIETA' E 6 MESI DI GARANZIA,,,
Dell Latitude 5340 13 Core i7 16GB 256GB Gray 2023 - Very Good,32499,Very Good - Refurbished · Dell · 256 GB,0,True,
